node,algorithm,operation,message_size,time_ms,energy_joule
A,AES,encrypt,IMAGE,8192,0.11389999417588115,0.0005694999708794057
A,AES,encrypt,IMAGE,8192,0.05820003570988774,0.0002910001785494387
A,AES,encrypt,IMAGE,8192,0.059699988923966885,0.0002984999446198344
A,AES,encrypt,IMAGE,8192,0.06960000609979033,0.0003480000304989517
A,AES,encrypt,IMAGE,8192,0.10000000474974513,0.0005000000237487257
A,AES,encrypt,IMAGE,8192,0.13669999316334724,0.0006834999658167362
A,AES,encrypt,IMAGE,8192,0.10010000551119447,0.0005005000275559723
A,AES,encrypt,IMAGE,8192,0.08639995940029621,0.00043199979700148106
A,AES,encrypt,IMAGE,8192,0.08769996929913759,0.00043849984649568796
A,AES,encrypt,IMAGE,8192,0.08410000009462237,0.00042050000047311187
A,AES,encrypt,IMAGE,8192,0.12499996228143573,0.0006249998114071786
A,AES,encrypt,IMAGE,8192,0.056500022765249014,0.00028250011382624507
A,AES,encrypt,TEXT,2,4.652799980249256,0.02326399990124628
B,AES,decrypt,TEXT,32,5.126100033521652,0.02563050016760826
A,AES,encrypt,IMAGE,8192,0.1210999907925725,0.0006054999539628625
A,AES,encrypt,IMAGE,8192,0.07730000652372837,0.00038650003261864185
A,AES,encrypt,IMAGE,8192,0.060999998822808266,0.00030499999411404133
A,AES,encrypt,IMAGE,8192,0.0619000056758523,0.0003095000283792615
A,AES,encrypt,IMAGE,8192,0.045199994929134846,0.00022599997464567423
A,AES,encrypt,IMAGE,8192,0.05299999611452222,0.0002649999805726111
A,AES,encrypt,IMAGE,8192,0.04210002953186631,0.00021050014765933156
A,AES,encrypt,IMAGE,8192,0.044599990360438824,0.00022299995180219412
A,AES,encrypt,IMAGE,8192,0.041899969801306725,0.00020949984900653362
A,AES,encrypt,IMAGE,8192,0.044899992644786835,0.00022449996322393417
A,AES,encrypt,IMAGE,8192,0.05440000677481294,0.0002720000338740647
A,AES,encrypt,IMAGE,8192,0.05509995389729738,0.0002754997694864869
A,AES,encrypt,IMAGE,3575,0.044199987314641476,0.00022099993657320738
A,AES,encrypt,TEXT,2,8.203200006391853,0.041016000031959265
B,AES,decrypt,TEXT,32,9.837599995080382,0.04918799997540191
B,AES,encrypt,TEXT,3,0.3400000277906656,0.0017000001389533281
A,AES,decrypt,TEXT,32,1.396199979353696,0.0069809998967684805
A,AES,encrypt,IMAGE,8192,0.1401000190526247,0.0007005000952631235
A,AES,encrypt,IMAGE,8192,0.07639999967068434,0.0003819999983534217
B,AES,decrypt,IMAGE,8224,0.13239996042102575,0.0006619998021051288
B,AES,decrypt,IMAGE,8224,0.049799971748143435,0.00024899985874071717
